Picture,Coats_Coat_Trench Coat_bege_No Pattern_NaN_NaN_All year,Top_Shirt_Sweater/Jumper_bege/black_Stripes_Wool_NaN_Winter,Bottom_Pants_Straight_white_No Pattern_Ganga_NaN_All year,Accessories_Bags_Bowler_black_No Pattern_NaN_Small_All year,Footwear_Shoes_Ballerinas_bege/black_No Pattern_NaN_NaN_All year,Fullbody_Dress_Long_black_No Pattern_Satin_NaN_All year,Top_Shirt_T-shirt_white_No Pattern_Coton_Oversized_Summer,Bottom_Pants_Wide leg_Bege_No Pattern_Linen_NaN_Summer,Footwear_Shoes_Sneakers_white_No Pattern_NaN_NaN_All year,Accessories_Bags_Bucket_white_No Pattern_NaN_Small_All year,Top_Shirt_Sleeveless_black_No Pattern_Nan_NaN_Summer,Accessories_Bags_Trapeze_NaN_No Pattern_Straw_Large_Summer,Bottom_Pants_Straight_NaN_NaN_Ganga_NaN_All year,Accessories_Earrings_Hoop_NaN_NaN_Golden_Medium_All year,Accessories_Sunglasses_Wayfarer_NaN_NaN_NaN_Medium_All year,Top_Shirt_Sleeveless_white_No Pattern_Cotton_NaN_Summer,Top_Shirt_shirt_white_No Pattern_Cotton_NaN_All year,Bottom_Pants_pegged_black_No Pattern_Cotton_NaN_All year,Footwear_Shoes_Moccasin_bege_No Pattern_NaN_NaN_All year,Accessories_Neckless_Choker_NaN_No Pattern_Golden_NaN_All year,Footwear_Shoes_Mule_black_No Pattern_Leather_NaN_All year,Footwear_Boots_Chelsea Boots_black_No Pattern_NaN_NaN_Winter,Top_Shirt_Sweatshirt_Grey_No Pattern_Cotton_NaN_All year,Bottom_Pants_5-pocket Jeans_NaN_No Pattern_Ganga_NaN_All year,Top_Coat_Blazer_black_No Pattern_NaN_Oversized_Winter,Top_Shirt_Turtleneck_black_No Pattern_NaN_NaN_Winter,Footwear_Shoes_Sneakers_black/white_No Pattern_NaN_NaN_All year,Footwear_Boots_Combat_black_No Pattern_NaN_NaN_Winter,Footwear_Shoes_Converse_black_No Pattern_NaN_NaN_All year,Top_Coat_Blazer_bege_No Pattern_NaN_Oversized_Winter,Top_Shirt_T-shirt_black/white_Stripes_NaN_NaN_Winter,Accessories_Bags_Baguette_black_No Pattern_NaN_Small_All year,Bottom_Pants_Straight_black_NaN_Ganga_NaN_All year,Top_Coat_Blazer_grey_No Pattern_NaN_Oversized_Winter,Accessories_Hats_Baseball Cap_black_No Pattern_NaN_NaN_All year,Bottom_Pants_Straight_black_NaN_Leather_NaN_All year,Top_Shirt_Sweater/Jumper_grey_NaN_Wool_NaN_Winter,Top_Shirt_Cardigan_grey_NaN_Wool_Oversized_Winter,Top_Shirt_Cardigan_bege_NaN_Cashmere_NaN_Winter,Bottom_Pants_Wide leg_black_No Pattern_Cotton_NaN_All year,Accessories_Earrings_Stud_NaN_NaN_Pearl_Small_All year,Top_Shirt_Turtleneck_black_No Pattern_NaN_NaN_Winter.1,Accessories_Bags_Bowler_black_No Pattern_NaN_Small_All year.1,Accessories_Belt_Belt_black_No Pattern_Leather_NaN_All year,Top_Shirt_T-shirt_white/black_Stripes_NaN_NaN_All year,Bottom_Pants_Wide leg_bege_No Pattern_Cotton_NaN_All year,Top_Shirt_Sweatshirt_black_No Pattern_NaN_Oversized_All year,Footwear_Shoes_Loafers_black_No Pattern_Leather_NaN_All year,Top_Shirt_Sweater/Jumper_bege_NaN_Wool_NaN_Winter,Bottom_Pants_Wide leg_grey_No Pattern_Cotton_NaN_All year,Top_Shirt_shirt_blue_No Pattern_Cotton_Oversized_All year,Top_Shirt_Sweater/Jumper_white_NaN_Wool_NaN_Winter,Bottom_Pants_Sweat Pants_grey_No Pattern_Cotton_NaN_All year,Accessories_Hats_Beanie_black_No Pattern_NaN_NaN_All year,Bottom_Pants_Leggins_grey_No Pattern_Cotton_NaN_All year,Accessories_Hats_Baseball Cap_white_No Pattern_NaN_NaN_All year,Accessories_Socks_Short_white_No Pattern_NaN_NaN_All year,Accessories_Bags_Baguette_white_No Pattern_NaN_Small_All year,Top_Coat_Blazer_light green_No Pattern_NaN_Oversized_All year,Bottom_Pants_Leggins_olive_No Pattern_Cotton_NaN_All year,Accessories_Hats_Baseball Cap_black_No Pattern_NaN_NaN_All year.1,Bottom_Pants_Leggins_black_No Pattern_Cotton_NaN_All year,Accessories_Bags_Tote_bege_No Pattern_NaN_Small_All year,Footwear_Shoes_Sneakers_grey_No Pattern_NaN_NaN_All year,Top_Coat_Blazer_bege/black_Plaid_NaN_Oversized_All year,Top_Coat_Puffed_black_No Pattern_NaN_NaN_Winter,Coats_Coat_Overcoat_Bege_No Pattern_NaN_Oversized_Winter,Coats_Coat_Cardigan_white_NaN_Wool_NaN_Winter,Bottom_Pants_Cargo_bege_NaN_NaN_NaN_All year,Bottom_Pants_Cargo_olive_NaN_NaN_NaN_All year,Bottom_Pants_Cargo_white_NaN_NaN_NaN_All year,Bottom_Pants_PARACHUTE_white_NaN_NaN_NaN_All year,Coats_Coat_Denim Jacket_blue_NaN_Ganga_Oversized_All year,Bottom_Pants_Wide Leg_blue_NaN_Ganga_Oversized_All year,Bottom_Pants_Wide Leg_black_NaN_Ganga_Oversized_All year,Top_Shirt_Sleeveless_grey_No Pattern_Nan_NaN_Summer,Accessories_Bags_Bowler_brown_No Pattern_Leather_Small_All year,Top_Shirt_Sports Bra_black_No Pattern_Cotton_NaN_All year,Top_Shirt_Sports Bra_navy_No Pattern_Cotton_NaN_All year,Top_Shirt_Sports Bra_grey_No Pattern_Cotton_NaN_All year,Top_Shirt_Sports Bra_black_No Pattern_Cotton_NaN_All year.1,Coats_Coat_Trench Coat_olive_No Pattern_NaN_NaN_All year,Coats_Coat_Trench Coat_navy_No Pattern_NaN_NaN_All year,Bottom_Pants_Leggins_navy_No Pattern_NaN_NaN_All year,Bottom_Pants_Pegged_bege_No Pattern_NaN_NaN_All year,Bottom_Pants_Pegged_white_No Pattern_NaN_NaN_All year,Bottom_Pants_Pegged_olive_No Pattern_NaN_NaN_All year,Bottom_Pants_Pegged_grey_No Pattern_NaN_NaN_All year,Top_Shirt_Shirt_black_No Pattern_Satin_NaN_All year,Top_Shirt_Sports Bra_white_No Pattern_Cotton_NaN_All year,Accessories_Bags_Tote_brown_No Pattern_Leather_NaN_All year,Accessories_Bags_Tote_grey_No Pattern_Leather_NaN_All year,Top_Shirt_Shirt_Blue_Stripes_Cotton_Oversized_All year,Top_Shirt_Sleeveless_Bege_No Pattern_Cotton_NaN_Summer,Bottom_Pants_Wide Leg_White_No Pattern_Cotton_NaN_All year,Footwear_Sandals_High heels_transparent_No Pattern_NaN_NaN_All year,Top_Shirt_T-shirt_black_No Pattern_Cotton_NaN_Summer,Accessories_Bags_Tote_black_No Pattern_Leather_NaN_All year,Footwear_Sandals_High heels_black_No Pattern_NaN_NaN_All year,Coats_Coat_Jacket_black_No Pattern_Leather_Oversized_Winter,Top_Shirt_sweatshirt_white_No Pattern_Cotton_Oversized_All year,image link
minimalist1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/08/c3/b9/08c3b99537ce24dd26f6e7036b73c453.jpg
minimalist2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/dc/7e/71/dc7e71cb58ce3fbe81d9c3dc534dfef9.jpg
minimalist3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/38/c1/56/38c156d6ffb01cf794b8791a87c2010c.jpg
minimalist4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/d7/b3/eb/d7b3ebb0100181e91f21f5abcfeb0892.jpg
minimalist5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/750x/fd/a4/6b/fda46b2d9526e0be1a316a1e4dc15b69.jpg
businesscasual2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/9e/84/54/9e8454d51d4f5fd3f6d16c9acdf82961.jpg
businesscasual1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/63/ee/99/63ee99a0bb8fbcf1bfe54c1bb1f10682.jpg
businesscasual3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,https://i.pinimg.com/564x/db/a8/70/dba870f8c47663d8c907bf2228bf9c81.jpg
businesscasual4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,https://i.pinimg.com/564x/cd/f3/89/cdf389695ccb64cb5e23feb06a68f062.jpg
businesscasual5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,https://i.pinimg.com/564x/cc/59/68/cc5968d820d649e40b8e9e854afd7d50.jpg
businesscasual6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/d8/9b/6e/d89b6eb1ca4d206ae0b1cc8c0b00b559.jpg
athleisure1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/750x/93/12/eb/9312ebd000d0ba94ffe659e3f17ab85c.jpg
athleisure2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/43/2c/5b/432c5b1eef0cbe1b6a49532d4bb47fac.jpg
minimalist6,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/3f/fc/77/3ffc778905661f2e959de45ea356ca09.jpg
athleisure3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/87/fa/70/87fa70246a4aaf2611739074f965ef10.jpg
athleisure4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/9c/ea/b2/9ceab23dad0258931906e667dce2125a.jpg
athleisure5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/65/1b/d1/651bd12b8741a60d0e7f8232f3e10001.jpg
streetstyle1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/a6/5e/eb/a65eebaff1963466fd3d9d87d2a721b8.jpg
streetstyle2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/9a/fb/8f/9afb8f2a2cb3cd461cacd43d31dc2801.jpg
streetstyle3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/85/11/db/8511db26c914293e9abac6ff68eea7b3.jpg
streetstyle4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/a3/3c/e8/a33ce8e1444488941d8457e38acfa657.jpg
athleisure6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://i.pinimg.com/564x/de/0e/60/de0e600309211683f4f61016fd4cc46b.jpg
minimalist7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/f7/1d/a7/f71da7733c48732f71381ca0cb4d10b3.jpg
streetstyle5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/8d/ca/f5/8dcaf515fec760c304c6a5fadba06975.jpg
minimalist8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/ff/f0/ed/fff0ed77121e9004497221fddbc8fea9.jpg
minimalist9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://i.pinimg.com/564x/16/d8/56/16d856e1e939b608db79ebb51712c2af.jpg
